,week,state,state_name,disease,cases,incidence_per_capita
96,196604,FL,FLORIDA,RUBELLA,21,0.34
97,196604,HI,HAWAII,RUBELLA,1,0.14
98,196604,IA,IOWA,RUBELLA,32,1.16
99,196604,ID,IDAHO,RUBELLA,1,0.15
100,196604,IL,ILLINOIS,RUBELLA,39,0.36
101,196604,IN,INDIANA,RUBELLA,15,0.3
102,196604,KY,KENTUCKY,RUBELLA,33,1.05
103,196604,MA,MASSACHUSETTS,RUBELLA,20,0.36
104,196604,MD,MARYLAND,RUBELLA,10,0.27
105,196604,ME,MAINE,RUBELLA,11,1.1
106,196604,MI,MICHIGAN,RUBELLA,44,0.52
107,196604,MN,MINNESOTA,RUBELLA,8,0.22
108,196604,MT,MONTANA,RUBELLA,9,1.27
109,196604,ND,NORTH DAKOTA,RUBELLA,4,0.62
110,196604,NH,NEW HAMPSHIRE,RUBELLA,2,0.29
111,196604,NY,NEW YORK,RUBELLA,41,0.23
112,196604,OR,OREGON,RUBELLA,30,1.52
113,196604,PA,PENNSYLVANIA,RUBELLA,1,0.01
114,196604,RI,RHODE ISLAND,RUBELLA,3,0.33
115,196604,TN,TENNESSEE,RUBELLA,76,1.99
116,196604,TX,TEXAS,RUBELLA,1,0.01
117,196604,UT,UTAH,RUBELLA,6,0.59
118,196604,VA,VIRGINIA,RUBELLA,5,0.11
119,196604,VT,VERMONT,RUBELLA,31,7.51
120,196604,WA,WASHINGTON,RUBELLA,89,2.91
121,196604,WI,WISCONSIN,RUBELLA,132,3.09
122,196604,WV,WEST VIRGINIA,RUBELLA,29,1.63
123,196605,AK,ALASKA,RUBELLA,8,2.95
124,196605,AZ,ARIZONA,RUBELLA,162,10.04
125,196605,CA,CALIFORNIA,RUBELLA,46,0.24
126,196605,CO,COLORADO,RUBELLA,9,0.45
127,196605,CT,CONNECTICUT,RUBELLA,72,2.48
128,196605,FL,FLORIDA,RUBELLA,17,0.28
129,196605,HI,HAWAII,RUBELLA,2,0.28
130,196605,IA,IOWA,RUBELLA,51,1.85
131,196605,IL,ILLINOIS,RUBELLA,39,0.36
132,196605,IN,INDIANA,RUBELLA,47,0.94
133,196605,KY,KENTUCKY,RUBELLA,15,0.48
134,196605,MA,MASSACHUSETTS,RUBELLA,102,1.84
135,196605,MD,MARYLAND,RUBELLA,5,0.14
136,196605,ME,MAINE,RUBELLA,5,0.5
137,196605,MI,MICHIGAN,RUBELLA,38,0.45
138,196605,MT,MONTANA,RUBELLA,15,2.12
139,196605,ND,NORTH DAKOTA,RUBELLA,10,1.55
140,196605,NY,NEW YORK,RUBELLA,43,0.24
141,196605,OR,OREGON,RUBELLA,44,2.23
142,196605,RI,RHODE ISLAND,RUBELLA,13,1.45
143,196605,SC,SOUTH CAROLINA,RUBELLA,1,0.04
144,196605,TN,TENNESSEE,RUBELLA,55,1.44
145,196605,VA,VIRGINIA,RUBELLA,14,0.31
146,196605,VT,VERMONT,RUBELLA,1,0.24
147,196605,WA,WASHINGTON,RUBELLA,150,4.91
148,196605,WI,WISCONSIN,RUBELLA,149,3.49
149,196605,WV,WEST VIRGINIA,RUBELLA,40,2.25
150,196605,WY,WYOMING,RUBELLA,1,0.31
151,196606,AK,ALASKA,RUBELLA,5,1.85
152,196606,AL,ALABAMA,RUBELLA,1,0.03
153,196606,AR,ARKANSAS,RUBELLA,1,0.05
154,196606,AZ,ARIZONA,RUBELLA,127,7.87
155,196606,CA,CALIFORNIA,RUBELLA,104,0.55
156,196606,CO,COLORADO,RUBELLA,13,0.65
157,196606,CT,CONNECTICUT,RUBELLA,44,1.52
158,196606,DE,DELAWARE,RUBELLA,3,0.58
159,196606,FL,FLORIDA,RUBELLA,11,0.18
160,196606,HI,HAWAII,RUBELLA,9,1.27
161,196606,IA,IOWA,RUBELLA,56,2.03
162,196606,ID,IDAHO,RUBELLA,56,8.13
163,196606,IL,ILLINOIS,RUBELLA,24,0.22
164,196606,IN,INDIANA,RUBELLA,31,0.62
165,196606,KY,KENTUCKY,RUBELLA,142,4.51
166,196606,MA,MASSACHUSETTS,RUBELLA,93,1.68
167,196606,MD,MARYLAND,RUBELLA,6,0.16
168,196606,ME,MAINE,RUBELLA,2,0.2
169,196606,MI,MICHIGAN,RUBELLA,117,1.37
170,196606,MN,MINNESOTA,RUBELLA,8,0.22
171,196606,MT,MONTANA,RUBELLA,3,0.42
172,196606,ND,NORTH DAKOTA,RUBELLA,8,1.24
173,196606,NH,NEW HAMPSHIRE,RUBELLA,5,0.73
