,week,state,state_name,disease,cases,incidence_per_capita
92,192803,CT,CONNECTICUT,SMALLPOX,20,1.27
93,192803,DE,DELAWARE,SMALLPOX,0,0.0
94,192803,FL,FLORIDA,SMALLPOX,7,0.49
95,192803,ID,IDAHO,SMALLPOX,3,0.67
96,192803,IL,ILLINOIS,SMALLPOX,27,0.36
97,192803,IN,INDIANA,SMALLPOX,120,3.74
98,192803,KS,KANSAS,SMALLPOX,74,4.0
99,192803,KY,KENTUCKY,SMALLPOX,28,1.09
100,192803,LA,LOUISIANA,SMALLPOX,20,0.97
101,192803,MA,MASSACHUSETTS,SMALLPOX,3,0.07
102,192803,MD,MARYLAND,SMALLPOX,0,0.0
103,192803,ME,MAINE,SMALLPOX,0,0.0
104,192803,MI,MICHIGAN,SMALLPOX,58,1.24
105,192803,MN,MINNESOTA,SMALLPOX,2,0.08
106,192803,MO,MISSOURI,SMALLPOX,51,1.42
107,192803,MS,MISSISSIPPI,SMALLPOX,15,0.76
108,192803,MT,MONTANA,SMALLPOX,32,5.91
109,192803,NC,NORTH CAROLINA,SMALLPOX,175,5.68
110,192803,ND,NORTH DAKOTA,SMALLPOX,5,0.75
111,192803,NE,NEBRASKA,SMALLPOX,37,2.7
112,192803,NJ,NEW JERSEY,SMALLPOX,0,0.0
113,192803,NM,NEW MEXICO,SMALLPOX,1,0.24
114,192803,NY,NEW YORK,SMALLPOX,9,0.08
115,192803,OH,OHIO,SMALLPOX,17,0.26
116,192803,OK,OKLAHOMA,SMALLPOX,142,6.06
117,192803,OR,OREGON,SMALLPOX,46,4.91
118,192803,PA,PENNSYLVANIA,SMALLPOX,0,0.0
119,192803,RI,RHODE ISLAND,SMALLPOX,0,0.0
120,192803,SC,SOUTH CAROLINA,SMALLPOX,15,0.86
121,192803,SD,SOUTH DAKOTA,SMALLPOX,10,1.46
122,192803,TN,TENNESSEE,SMALLPOX,21,0.8
123,192803,TX,TEXAS,SMALLPOX,23,0.41
124,192803,UT,UTAH,SMALLPOX,17,3.37
125,192803,VT,VERMONT,SMALLPOX,0,0.0
126,192803,WA,WASHINGTON,SMALLPOX,51,3.29
127,192803,WI,WISCONSIN,SMALLPOX,29,0.99
128,192803,WV,WEST VIRGINIA,SMALLPOX,26,1.53
129,192803,WY,WYOMING,SMALLPOX,2,0.91
130,192804,AL,ALABAMA,SMALLPOX,11,0.42
131,192804,AR,ARKANSAS,SMALLPOX,18,0.97
132,192804,AZ,ARIZONA,SMALLPOX,8,1.9
133,192804,CA,CALIFORNIA,SMALLPOX,27,0.51
134,192804,CO,COLORADO,SMALLPOX,18,1.78
135,192804,CT,CONNECTICUT,SMALLPOX,15,0.95
136,192804,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0
137,192804,DE,DELAWARE,SMALLPOX,0,0.0
138,192804,FL,FLORIDA,SMALLPOX,1,0.07
139,192804,GA,GEORGIA,SMALLPOX,0,0.0
140,192804,IA,IOWA,SMALLPOX,75,3.06
141,192804,ID,IDAHO,SMALLPOX,13,2.9
142,192804,IL,ILLINOIS,SMALLPOX,38,0.5
143,192804,IN,INDIANA,SMALLPOX,93,2.9
144,192804,KS,KANSAS,SMALLPOX,106,5.73
145,192804,KY,KENTUCKY,SMALLPOX,41,1.6
146,192804,LA,LOUISIANA,SMALLPOX,17,0.82
147,192804,MA,MASSACHUSETTS,SMALLPOX,0,0.0
148,192804,MD,MARYLAND,SMALLPOX,1,0.06
149,192804,ME,MAINE,SMALLPOX,0,0.0
150,192804,MI,MICHIGAN,SMALLPOX,26,0.56
151,192804,MN,MINNESOTA,SMALLPOX,2,0.08
152,192804,MO,MISSOURI,SMALLPOX,42,1.17
153,192804,MS,MISSISSIPPI,SMALLPOX,22,1.11
154,192804,MT,MONTANA,SMALLPOX,20,3.7
155,192804,NC,NORTH CAROLINA,SMALLPOX,117,3.8
156,192804,ND,NORTH DAKOTA,SMALLPOX,2,0.3
157,192804,NE,NEBRASKA,SMALLPOX,68,4.96
158,192804,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0
159,192804,NJ,NEW JERSEY,SMALLPOX,1,0.03
160,192804,NM,NEW MEXICO,SMALLPOX,1,0.24
161,192804,NY,NEW YORK,SMALLPOX,5,0.04
162,192804,OH,OHIO,SMALLPOX,21,0.32
163,192804,OK,OKLAHOMA,SMALLPOX,150,6.4
164,192804,OR,OREGON,SMALLPOX,51,5.45
165,192804,PA,PENNSYLVANIA,SMALLPOX,0,0.0
166,192804,RI,RHODE ISLAND,SMALLPOX,0,0.0
167,192804,SC,SOUTH CAROLINA,SMALLPOX,10,0.58
168,192804,SD,SOUTH DAKOTA,SMALLPOX,1,0.15
169,192804,TN,TENNESSEE,SMALLPOX,35,1.33
170,192804,TX,TEXAS,SMALLPOX,41,0.72
171,192804,UT,UTAH,SMALLPOX,19,3.77
172,192804,VT,VERMONT,SMALLPOX,0,0.0
173,192804,WA,WASHINGTON,SMALLPOX,46,2.97
174,192804,WI,WISCONSIN,SMALLPOX,35,1.2
175,192804,WV,WEST VIRGINIA,SMALLPOX,37,2.18
176,192804,WY,WYOMING,SMALLPOX,4,1.82
177,192805,AL,ALABAMA,SMALLPOX,1,0.04
178,192805,AR,ARKANSAS,SMALLPOX,6,0.32
179,192805,AZ,ARIZONA,SMALLPOX,3,0.71
180,192805,CA,CALIFORNIA,SMALLPOX,39,0.73
181,192805,CO,COLORADO,SMALLPOX,24,2.37
182,192805,CT,CONNECTICUT,SMALLPOX,6,0.38
183,192805,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0
184,192805,DE,DELAWARE,SMALLPOX,0,0.0
185,192805,FL,FLORIDA,SMALLPOX,3,0.21
186,192805,GA,GEORGIA,SMALLPOX,0,0.0
187,192805,IA,IOWA,SMALLPOX,74,3.02
188,192805,ID,IDAHO,SMALLPOX,6,1.34
189,192805,IL,ILLINOIS,SMALLPOX,30,0.4
190,192805,IN,INDIANA,SMALLPOX,140,4.36
191,192805,KS,KANSAS,SMALLPOX,119,6.43
192,192805,KY,KENTUCKY,SMALLPOX,52,2.03
193,192805,LA,LOUISIANA,SMALLPOX,14,0.68
194,192805,MA,MASSACHUSETTS,SMALLPOX,0,0.0
195,192805,MD,MARYLAND,SMALLPOX,0,0.0
196,192805,ME,MAINE,SMALLPOX,0,0.0
197,192805,MI,MICHIGAN,SMALLPOX,39,0.84
198,192805,MN,MINNESOTA,SMALLPOX,5,0.19
199,192805,MO,MISSOURI,SMALLPOX,37,1.03
200,192805,MS,MISSISSIPPI,SMALLPOX,7,0.35
201,192805,MT,MONTANA,SMALLPOX,44,8.13
202,192805,NC,NORTH CAROLINA,SMALLPOX,129,4.19
203,192805,ND,NORTH DAKOTA,SMALLPOX,0,0.0
204,192805,NE,NEBRASKA,SMALLPOX,40,2.92
205,192805,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0
206,192805,NJ,NEW JERSEY,SMALLPOX,0,0.0
207,192805,NM,NEW MEXICO,SMALLPOX,0,0.0
208,192805,NY,NEW YORK,SMALLPOX,11,0.09
209,192805,OH,OHIO,SMALLPOX,42,0.64
210,192805,OK,OKLAHOMA,SMALLPOX,233,9.94
211,192805,OR,OREGON,SMALLPOX,48,5.13
212,192805,PA,PENNSYLVANIA,SMALLPOX,0,0.0
213,192805,RI,RHODE ISLAND,SMALLPOX,0,0.0
214,192805,SC,SOUTH CAROLINA,SMALLPOX,4,0.23
215,192805,SD,SOUTH DAKOTA,SMALLPOX,44,6.42
216,192805,TN,TENNESSEE,SMALLPOX,24,0.91
217,192805,TX,TEXAS,SMALLPOX,96,1.69
218,192805,UT,UTAH,SMALLPOX,18,3.57
